id	en	en_US	ja	es	fr	it	pt_BR	es_US	de	pl	zh	tr	se	ru
sys_overwrite	Overwrite		オーバーライト	Sobrescribir	Ecraser	Sovrascrivere	Sobrescrever	Sobrescribir	Überschreiben	Nadpisz	覆寫	Üstüne yaz	Skriv över	Перезаписать
sys_load	Load		ロード	Cargar	Charger	Carica	Carregar	Cargar	Laden	Wczytaj	載入	Yükle	Ladda	Загрузить
sys_rename	Rename		リネーム	Renombrar	Renommer	Rinomina	Renomear	Renombrar	Umbennen	Przemianuj	重新命名	Yeniden Adlandır	Byt namn	Переименовать
sys_skill	Edit Skills		チェンジスキル	Habilidades	Modifier les compétences	Modifica le Abilità	Habilidades	Editar habilidades	Skills bearbeiten	Edytuj Talenty	修改技能	Becerileri Düzenle	Redigera färdigheter	Выбор навыков
sys_skill_total	Skill Total		スキルトータル	Total de Habilidades	Total de compétences	Abilità Totali	Total de Habilidades	Total de Habilidades	Gesamte Skills	Suma Talentów	總共裝備技能	Toplam Beceri	Sammalagd färdighet	Всего навыков
sys_skill_cost	Skill Cost		スキルコスト	Coste Total	Coût total	Costo delle Abilità	Custo de Habilidade	Costo de habilidad	Skill-Kosten	Koszt Talentu	總共使用點數	Beceri Maliyeti	Färdighetskostnad	Стоимость навыка
sys_sort	Sort		ソート	Ordenar	Trier	Ordina	Organizar	Ordenar	Sortieren	Sortuj	分類	Tür	Sortera	Отсортировать
sys_sort_default	Default		デフォルト	Predeterminado	Par défaut	Predefinito	Padrão	Por defecto	Standard	Domyślne	預設	Sıradan	Standard	По умолчанию
sys_sort_name	Name		名前	Nombre	Nom	Nome	Nome	Nombre	Name	Nazwa	名稱	İsim	Namn	Название
sys_sort_cost	Cost		コスト	Coste	Coût	Costo 	Custo	Costo	Kosten	Koszt	所需點數	Maliyet	Kostnad	Стоимость
sys_sort_wind	Wind		ウィンド	Viento	Vent	Vento	Vento	Viento	Wind	Wiatr	風屬性	Rüzgar	Vind	Дух ветра
sys_sort_fire	Fire		ファイア	Fuego	Feu	Fuoco	Fogo	Fuego	Feuer	Ogień	炎屬性	Ateş	Eld	Дух огня
sys_sort_dark	Dark		ダーク	Oscuridad	Ténèbres	Tenebre	Escuridão	Sombrío	Finsternis	Mrok	闇屬性	Karanlık	Mörk	Дух темноты
														
sys_reset	Reset		リセット	Restablecer	Réinitialiser	Resetta	Redefinir	Restablecer	Zurücksetzen	Zresetuj	重置	Tekrarla	Återställ	Сбросить
sys_reset_description	Are you sure you want to reset this preset?		このプリセットをリセットする？	¿Deseas restablecer este conjunto de habilidades?	Voulez-vous réinitialiser cet ensemble de compétences ?	Sei sicuro di voler resettare questa preimpostazione	Deseja mesmo redefinir este conjunto?	¿Seguro(a) que quieres restablecer este conjunto de habilidades?	Bist du sicher dass du diese Vorgabe zurücksetzen willst?	Czy na pewno chcesz zresetować ten szablon?	您確定要重置此一組合？	Bu ön ayarı sıfırlamak istediğine emin misin?	Är du säker på att du vill återställa den här förinställningen?	Вы уверены, что хотите сбросить этот шаблон?
sys_bgm	Change BGM		ＢＧＭ　へんこう			Cambia musica di sottofondo	Mudar música de fundo	Cambiar música de fondo	Musik ändern	Muzyka w Tle	變更BGM	APM Değiştir		Изменить фоновую музыку
														
sys_pause	Pause		ポーズ	Pausa	Pause	Pausa	Pausa	Pausa	Pause	Pauza	暫停	Durdur	Pausa	Пауза
pause_continue	Continue		コンティニュー	Continuar	Continuer 	Continua	Continuar	Continuar	Weiter	Kontynuuj	繼續	Devam et	Fortsätt	Продолжить
pause_restart	Restart		リスタート	Reiniciar	Recommencer	Ricomincia	Reiniciar	Reiniciar	Neustart	Zrestartuj	重新來過	Tekrarla	Starta om	Заново
pause_status	Status		ステータス	Estado	Statut	Stato	Status	Estado	Status	Status	狀態	Durum	Status	Статус
pause_quit	Quit		やめる	Salir	Quitter 	Abbandona	Sair	Salir	Verlassen	Wyjdź	退出	Çık	Avsluta	Выход
pause_mission	Mission		ミッション	Misión	Mission 	Missione	Missão	Misión	Mission	Misja	任務	Görev	Uppdrag	Миссия
pause_skill	Skills		スキル	Habilidades	Compétences	Abilità	Habilidades	Habilidades	Skills	Talenty	技能	Becerliler	Färdigheter	Навыки
pause_status_description	Here is Sonic's current status.		現在のソニックのステータスです。	Aquí está el estado actual de Sonic.	Stats actuelles de Sonic 	Ecco lo stato attuale di Sonic.	Aqui está o estado atual de Sonic.	Este es el estado actual de Sonic.	Hier ist Sonics aktueller Status.	Oto obecny status Sonica.	索尼克的目前狀態。	İşte Sonic'in son durumu.	Här är Sonics nuvarande status	Текущий статус Соника.
pause_mission_description	Here is information on\nyour current mission.		現在プレイ中のミッション\n内容を表示します。	Aquí hay información\nsobre la misión actual.	Informations de la quête 	Ecco le informazioni sulla\ntua attuale missione.	Aqui há informações\nda sua missão atual.	Esta es la información\nde tu misión actual.	Hier sind Informationen zu deiner aktuellen Mission.	Oto informacje o obecnej misji.	目前任務的資訊。	İşte şu anki\ngörevinle ilgili bilgiler.	Här är information för\nditt nuvarande uppdrag	Отобразить содержание текущей миссии.
pause_skill_description	Here is information on\nyour currently equipped skills.		現在プレイ中のスキルリストです。	Aquí hay información\nsobre las habilidades equipadas.	Informations de tes équipements actuels 	Ecco le informazioni sulle\ntue abilità attualmente equipaggiate.	Aqui há informações das\nsuas habilidades equipadas atualmente.	Esta es la información de\ntus habilidades equipadas.	Hier sind Informationen zu deiner aktuellen Ausrüstung.	Oto informacje o wyposażonych talentach.	目前裝備的技能。	İşte şu anda sahip olduğun\nbecerilere ilişkin bilgiler.	Här är information för\ndina nuvarande valda färdigheter	Список навыков, которыми сейчас снаряжён герой.
pause_lv	Level		レベル	Nivel	Niveau 	Livello	Nível	Nivel	Level	Poziom	等級	Seviye	Nivå	Уровень
pause_high_score	High Score		ハイスコア	Mejor Puntuación	Score le plus élevé 	Punteggio più alto	Melhor Pontuação	Mayor puntuación	Höchstpunktzahl	Najlepszy Wynik	最佳得分	Yüksek Skor	Topp Poäng	Всего очков
pause_score	Score		スコア	Puntuación	Score le plus élevé 	Punteggio più alto	Pontuação	Puntuación	Punkte	Wynik	得分	Skor	Poäng	Очки
pause_best_time	Best Time		ベストタイム	Mejor Tiempo	Meilleur temps	Tempo Migliore	Melhor Tempo	Mejor tiempo	Bestzeit	Najlepszy Czas	最佳時間	En İyi Süre	Bästa Tid	Лучшее время
pause_time	Time		タイム	Tiempo	Temps	Tempo	Tempo	Tiempo	Zeit	Czas	時間	Süre	Tid	Время
pause_stage_exp	Stage EXP		ステージ EXP	EXP del Nivel	XP du niveau 	PE del livello	EXP de Nível	EXP del nivel	Level EP	PD Etapu	關卡獲得EXP	Aşama EXP	Ban EXP	Уровень опыта
pause_total_exp	Total EXP		トータル EXP	EXP Total	XP total 	PE totale	EXP Total	EXP total	Gesamt EP	Suma PD	總共EXP	Toplam EXP	Total EXP	Всего опыта
pause_gauge	Soul Gauge		ソウルゲージ	Barra de Almas	Jauge d'Âme	Indicatore dell'Anima	Barra Espiritual	Medidor de almas	Soul Gauge	Pasek Dusz	魂力量表	Ruh Ölçer	Själmätare	Шкала души
pause_fire_soul	Fire Soul		ファイヤーソウル	Alma Ígnea	Âme de Feu 	Anima Infuocata	Alma de Fogo	Alma de fuego	Feuerseele	Ognista Dusza	焰魂	Ateş Ruhu	Eldsjäl	Душа огня
pause_medal	Medal		メダル	Medalla	Médaille 	Medaglia	Medalha	Medalla	Medaille	Medal	獎牌	Madalya	Medalj	Медаль
pause_no_skill	No skills are currently equipped.		スキルは装備していない。	No tienes equipada ninguna habilidad.	Aucune compétence n'est actuellement équipée.	Nessuna abilità è attualmente equipaggiata.	Nenhuma habilidade está equipada no momento.	No hay ninguna habilidad equipada.	Es sind gerade keine Skills ausgerüstet.	Żaden talent nie jest obecnie używany.	目前沒有裝備技能	Şu anda hiçbir beceri donatılmadı.	Inga färdigheter är utrustade för tillfället.	Сейчас Ваш герой ничем не снаряжён.
														
														
status_header	Status		ステータス			Stato	Status	Estado	Status	Status	狀態	Durum	Status	Статус
status_level	Level		レベル			Livello	Nível	Nivel	Level	Poziom	等級	Seviye	Nivå	Уровень
status_ring	Ring Count		リング数			Numero Anelli	Anéis	Anillos	Ringe gesammelt	Liczba Pierścieni	金環數量	Yüzük Sayısı	Antal Ringar	Максимум колец
status_fire_soul	Fire Soul Count		ファイヤーソウル数			Numero Anime Infuocate	Almas de Fogo	Almas de fuego	Feuerseelen 	Liczba Ognistych Dusz	焰魂數量	Ateş Ruhu Sayısı	Antal Äldsjälar	Всего Душ огня
status_skill_points	Skill Points		スキル ポイント			Punti Abilità	Pontos de Habilidade	Puntos de habilidad	Skillpunkte	Punkty Talentów	技能點數	Beceri Puanları	Färdighetspoäng	Очков навыка
status_soul_gauge	Max Soul Gauge		マックスソウルゲージ			Barra dell'Anima Massima	Barra Espiritual Máxima	Medidor de almas	Soul Gauge Höhe	Maks. Pasek Dusz	最大魂力量表	Maksimum Ruh Ölçütü	Max Själmätare	Максимум шкалы души
status_total_exp	Total Exp		トータル EXP			EP Totali	Experiência Total	Exp Total	Erfahrungspunkte	Łączne PD	總EXP	Toplam Tecrübe Puanı	Total EXP	Всего опыта
status_next_exp	Next Level Up		次のレベル			Prossimo Livello	Próximo Nível	Para el próximo nivel	Nächstes Level ab	Kolejny Poziom	下次升等	Sonraki Seviye Atlama	Nästa Nivå Upp	Следующий уровень
status_next_story	Next Story Mission		次のミッション			Prossima Missione Storia	Próxima Missão de HIstória	Próxima misión de la historia	Nächste Story Mission	Kolejna Misja Fabularna	下個主線任務	Sonraki Hikaye Görevi	Nästa Berättelse Uppdrag	Следующая миссия в Приключении
														
														
sys_world_locked	You cannot select this world yet.		このステージは　まだ選択できません。	Aún no puedes seleccionar este mundo.	Tu ne peux pas encore\nséléctionner ce monde.	Non puoi ancora selezionare questo mondo.	Você ainda não pode selecionar este mundo.	Aún no puedes elegir este mundo.	Du kannst diese Welt noch nicht auswählen.	Jeszcze nie możesz wybrać tego świata.	您還不能選擇此世界。	Henüz bu bölgeyi seçemezsin.	Du kan inte välja den här världen än.	Вы пока не можете выбрать этот мир.
sys_mode_adventure	Take on the quest to save the\nfading world of the Arabian Nights!		失われつつあるアラビアンナイトの\n世界を冒険します。	¡Emprende la misión de salvar\nel mundo de Las mil y una noches!	Pars à l'aventure et sauve le monde\ndes Mille et Une Nuits du néant !	Intraprendi la missione per salvare\nil mondo dissolvente delle Mille e una Notte!	Embarque nesta missão para salvar o\nmundo esvaecido das Mil e uma Noites!	Explora y salva el mundo decadente\de """Las mil y una noches""".	Rette die schwindende Welt von\nTausendundeiner Nacht!	Podejmij się wyprawy by uratować\nzanikający świat Arabskich Nocy!	接下任務，\n拯救正在逐漸消失的天方夜譚的世界吧！	Arap Geceleri’nin solmakta olan\ndünyasını kurtarma görevini üstlen!	Ge dig ut på uppdraget för att rädda\nTusen och en Natts bleknande värld!	Отправимся навстречу приключениям\nв мир исчезающих """Тысячи и одной ночи"""!
sys_mode_party	Play with up to 4 of your friends\nin this full-scale minigame mode!		1人~4人で遊ぶためのミニゲーム\n満載のパーティーモードーです。	¡Juega con hasta 4 amigos a\nuna multitud de minijuegos!	Joue à des mini-jeux avec jusqu'a 4 de tes amis dans ce mode mini-jeu !	Gioca fino a 4 amici\nin questa modalità di mini-giochi!	Jogue com até 4 amigos uma\nvariedade de minigames!	Un modo repleto de minijuegos\para 1 a 4 jugadores.	Im Partymodus können bis zu 4\nFreunde an Minispielen teilnehmen!	Graj z maks. czterema znajomymi w tym\npełnowymiarowym trybie Minigrowym! 	可供1~4人遊玩充滿小遊戲的派對模式！	Bu kapsamlı mini oyun modunda\n4 arkadaşına kadar birlikte oyna!	Spela med upp till 4 av dina vänner in det här fullskaliga minispelsläget!	Режим вечеринки, в котором собраны\nмини-игры для 1-4 человек.
sys_mode_book	You can view the pages\nyou've collected here.		これまで獲得したページを\n見る事ができます。	Aquí puedes ver las páginas\nque has coleccionado.	Tu peux voir toutes les pages\nque tu as récupérées ici.	Qui puoi vedere le pagine\nche hai collezionato.	Aqui você pode ver as páginas\nque já coletou.	Puedes ver las páginas\nque has reunido aquí.	Hier kannst du die Seiten ansehen,\ndie du gesammelt hast.	Tutaj możesz przejrzeć strony,\nktóre zebrałeś/aś.	您可以在此觀賞收集到的書頁。	Topladığın sayfaları burada görüntüleyebilirsin.	Du kan titta på sidor som\ndu har samlat här.	Просмотреть полученные страницы.
sys_mode_option	Change the game's settings.		ゲーム中の設定を変更できます。	Ajusta los parámetros del juego.	Ceci te permet de modifier\nles paramètres du jeu.	Cambia le impostazioni di gioco.	Altere as configurações do jogo.	Cambia los ajustes del juego.	Ändere die Einstellungen des Spiels.	Zmień ustawienia gry.	調整遊戲設定。	Oyun ayarlarını değiştir.	Ändra spelets inställningar.	Изменить настройки игры.
sys_mode_timeattack	Go for the fastest time!		最速タイムを狙え！	¡Compite por los tiempos más rápidos!	Établis des records de vitesse !	Competi per il tempo più veloce!	Compita pelos menores tempos!	Intenta llegar más rápido.	Wetteifere um die schnellsten Zeiten!	Rywalizuj po najlepsze czasy!	挑戰以最快時間通關！	En hızlı süre için yarış!	Tävla för dem snabbaste tiderna!	Соревнуйтесь за лучшее время!
sys_mode_timeattack_locked	Clear the game at least once to unlock.		ゲームをクリアするとアンロックされる。	Supera el juego al menos una vez para desbloquearlo.	Termine le jeu une fois pour débloquer.	Completa il gioco almeno una volta per sbloccare questa modalità.	Conclua o jogo pelo menos uma vez para desbloquear.	Termina el juego al menos\nuna vez para desbloquear esto.	Spiel das Spiel einmal durch, um dies freizuschalten.	Skończ grę przynajmniej raz by odblokować.	完成遊戲一次即可解鎖。	Kilidi açmak için oyunu en az bir kez tamamla.	Klara ut spelet minst en gång för att låsa upp.	Чтобы разблокировать, пройдите\nигру хотя бы один раз.
														
sys_save_select	Please select the file\nyou would like to play.		始めたいデータを選択してください。	Selecciona el archivo de\nguardado que quieres cargar.	Sélectionne le ficher que tu souhaites utiliser.	Seleziona il salvataggio\ndove vorresti giocare	Selecione o progresso\nque deseja jogar.	Elige el archivo que quieres usar	Bitte wähle die gewünschte\nDatei aus.	Wybierz zapis,\nna którym chcesz grać.	請選擇要遊玩的存檔資料。	Lütfen oynamak istedigin\ndosyayı seç	Snälla välj filen som du skulle vilja spela.	Выберите файл, который\nхотите загрузить.
sys_new	New		New	Nuevo	Nouveau	Nuovo	Novo	Nuevo	Neu	Nowy	新	Yeni	Ny	Новое
sys_map	World		ワールド	Mundo	Monde	Mondo	Mundo	Mundo	Welt	Świat	世界	Dünya	Värld	Мир
sys_mission	Mission		ミッション	Misión	Mission 	Missione	Missão	Misión	Mission	Misja	任務	Görev	Uppdrag	Миссия
sys_music_selector	Music Selector		曲セレクター				Seletor de Música	Selector de música	Musik-Auswahl	Wybór Muzyki	音樂選擇	Müzik Seçici	Musik Väljare	
sys_customtracks	Custom Music		カスタム曲				Músicas Importadas	Música personalida	Eigene Musik	Niestandardowa Muzyka	客製關卡	Özel Müzik	Anpassad Musik	Пользовательские трассы
sys_maintracks	Default Music		デフォルト曲				Música Padrão	Música por defecto	Standard-Musik	Standardowa Muzyka	主要關卡	Normal Müzik	Standard Musik	Основные трассы
sys_refresh	Refresh													
														
ta_title	Time Attack		タイムアタック	Contrarreloj	Contre-la-montre	Sfida a Tempo	Contra o Tempo	Contrarreloj	Zeit-Angriff	Atak Czasu	競速通關模式	Zamanlı Saldırı	Tids Attack	Забег на время
ta_newrun	New Run		ニュー ＲＴＡ	Nueva Partida	Nouvelle partie	Nuova Partita	Nova Partida	Nueva speedrun	Neuer Speedrun	Nowy Bieg	新挑戰	Yeni Koşu	Ny Omgång	Новое прохождение
ta_mode_title	Choose Run Type		ＲＴＡタイプ選択	Escoge el Tipo de Partida Cronometrada	Sélectionner le type de partie	Seleziona il tipo di partita	Escolha o Tipo de Partida	Elige el tipo de speedrun	Speedrun-Typ auswählen	Wybierz Typ Biegu	請選擇競速通關規則	Koşu Türünü Seç	Välj Omgångstyp	Выберите тип прохождения
ta_mode_standard	Standard		通常			Standard	Normal	Normal	Standard	Standard	標準	Standard	Standard	Стандартный
ta_mode_mainmissions	Minimalist		ミニマリスト			Missioni Principali	Missões Principais	Misiones principales	Hauptmissionen	Misje Główne	主線任務	Ana Görevler	Huvuduppdrag	Основные миссии
ta_mode_bossrush	Boss Rush		ボスラッシュ	Jefes	Boss Rush	Attacco ai Boss	Desafio dos Chefes	Cadena de jefes	Boss Rush	Maraton Bossów	頭目連戰	Boss Hücumu	Bossrusning	Битва с боссами
ta_mode_leaderboard	Leaderboard		ランキング			Tabellone	Ranques	Tabla de posiciones	Ranglisten	Tablica Wyników	排行榜	Liderlik Tablosu	Topplista	Список лидеров
ta_mode_singlerun	Single Run		ＩＬ	Nivel Único		Partita Unica	Partida Única	Sólo un nivel	Einzel-Speedrun	Pojedyńczy Bieg	單關挑戰	Tekli Koşu	Enkel Omgång	Одиночный забег
ta_start	Start!		スタート	¡Comenzar!	Aller !	Inizia!	Iniciar!	¡Empezar!	Start!	Start!	開始！	Başla!	Start!	Старт!
ta_levellist	Level List		ステージリスト			Lista dei Livelli	Lista de Fases	Lista de niveles	Level-Liste	Lista Etapów	關卡列表	Seviye Listesi	Nivålista	Список уровней
ta_newrun_desc	Start a new speedrun!		新しいＲＴＡを始まる。	¡Da comienzo a la partida!	Démarrer un nouveau speedrun !	Inizia una nuova partita veloce!	Começar uma nova partida!	¡Empieza una nueva speedrun!	Starte einen neuen Speedrun!	Zacznij nowy speedrun!	開始進行新的Speedrun！	Yeni bir speedrun'a başla!	Starta en ny speedrun!	Начать новое быстрое прохождение!
ta_mode_singlerun_desc	Play individual levels.		個々のレベルをＲＴＡする。	Juega niveles individuales.	Joue un niveau.	Gioca livelli individuali.	Jogue fases individuais.	Juega niveles individuales.	Spiele einzelne Level.	Graj w indywidualne etapy.	遊玩獨立關卡。	Özel bölümler oyna.	Spela individuela nivåer.	Пройти отдельно уровни.
ta_mode_desc_anypercent	The New Game experience!\nTime ends when defeating Alf Layla Wa Layla.		ニューゲームプラス体験だ！\nアルフ・ライラ・ワ・ライラを倒すとタイムが終了する。	¡De principio a fin, desde cero!\nEl cronómetro se detiene tras derrotar a Alf Leyla wa-Leyla.	Une expérience New Game!\nLe chronomètre s'arrête quand Alf Layla Wa Layla est vaincu.	L'esperienza del New Game!\nIl cronometro si ferma quando sconfiggi Alf Layla Wa Layla.	Do começo ao fim, desde o zero!\nO cronômetro para após derrotar Alf Layla wa-Layla.	¡Experimenta un nuevo juego!\nEl tiempo se detiene al vencer a Alf Leyla wa Leyla.	Mit """New Game"""-Regeln!\nZeit wird gestoppt sobald Alf Layla Wa Layla besiegt wurde.	Doświadczenie Nowej Gry!\nCzas kończy się po pokonaniu Alf Layla Wa Layla.	以無紀錄狀態進行挑戰！計時會在打倒一千零一夜時結束。	Yeni Oyun deneyimi!\nAlf Layla Wa Layla'yı yendiğinde süre sona erer.	Nytt Spel upplevelsen!\nTiden stannar när du slår Alf Layla Wa Layla.	Новая игра!\nВремя заканчивается после победы над Альф-Лейла-ва-Лейла.
ta_mode_desc_goalpercent	All """Go for the Goal""" stages!\nTime ends when finishing Night Palace.		すべての「ゴー　フォー　ザ　ゴールl」ステージ！\nナイト　パレスをクリアするとタイムが終了する。	¡Todos los niveles de """Llega a la Meta"""!\nEl cronómetro se detiene tras superar el Palacio Nocturno.	Tous les stages """Atteindre l'arrivé""" !\nLe chronomètre s'arrête en finissant Night Palace.	Tutti i livelli """Vai verso il Traguardo"""\nIl cronometro si ferma quando concludi il Palazzo Notturno.	Todos as fases de """Chegue até o Fim"""!\nO cronômetro para após finalizar Night Palace.	¡Todas las misiones """Llega a la meta"""!\nEl tiempo se detiene al terminar Palacio Nocturno.	Alle """Erreiche das Ziel"""-Levels!\nZeit wird gestoppt sobald Night Palace durchgespielt wurde.	Wszystkie etapy """Dobiegnij do Mety"""!\nCzas kończy się po pokonaniu Nocnego Pałacu.	挑戰全「抵達終點」任務關卡！計時會在暗夜宮廷通關時結束。	Tüm """Hedefe Git""" aşamaları!\nGece Sarayı'nı bitirdiğinizde süre sona erer.	Alla """Sikta på målet""" banor!\nTiden stannar när du klarar Natt Palatset.	Пройти все уровни до финиша!\nВремя заканчивается после победы над Альф-Лейла-ва-Лейла.
ta_mode_desc_bossrush	All Boss stages!\nTime ends when defeating Alf Layla Wa Layla.		すべてのボスステージ！\nアルフ・ライラ・ワ・ライラを倒すとタイムが終了する。	¡Lucha contra todos los Jefes!\nEl cronómetro se detiene tras derrotar a Alf Leyla wa-Leyla.	Tous les stages de Boss !\nLe chronomètre s'arrête lorsque Alf Layla Wa Layla est vaincu.	Tutti gli scontri contro i Boss!\nIl cronometro si ferma quando sconfiggi Alf Layla Wa Laya.	Todos as fases de Chefe!\nO cronômetro para após derrotar Alf Layla wa-Layla.	¡Todos los jefes!\nEl tiempo se detiene al vencer a Alf Leyla wa Leyla.	Alle Boss-Levels!\nZeit wird gestoppt sobald Alf Layla Wa Layla besiegt wurde.	Wszystkie etapy Bossów! \nCzas kończy się po pokonaniu Alf Layla Wa Layla.	挑戰全「擊敗Boss」任務關卡！\n計時會在打倒一千零一夜時結束。	Tüm Boss aşamaları!\nAlf Layla Wa Layla'yı yendiğinde süre sona erer.	Alla Boss banor!\nTiden stannar när du slår Alf Layla Wa Layla.	Пройти все уровни с боссами!\nВремя заканчивается после победы над Альф-Лейла-ва-Лейла.
ta_start_desc	Start the run!		ＲＴＡ始める			Inizia la partita!	Iniciar partida!	¡Comenzar speedrun!	Starte den Speedrun!	Rozpocznij Speedrun!	開始Speedrun！	Koşmaya başla!	Starta omgången!	Начать забег!
